escalate_to,thresh,calib_acc,acc,mJ_per_query,median,p95,max,escalated_pct,RR
s2,0.5,0.8175,0.8084862385321101,298.8721004397667,298.8721004397667,298.8721004397667,298.8721004397667,0.0,1.0623293251427888
s2,0.51,0.8175,0.8084862385321101,298.8721004397667,298.8721004397667,298.8721004397667,298.8721004397667,0.0,1.0623293251427888
s2,0.52,0.8175,0.8073394495412844,301.27819030458755,298.8721004397667,298.8721004397667,998.2422211476946,0.34403669724770647,1.06206640551906
s2,0.53,0.82,0.8073394495412844,302.88225021446806,298.8721004397667,298.8721004397667,998.2422211476946,0.573394495412844,1.0618911257699075
s2,0.54,0.81875,0.8061926605504587,304.4863101243487,298.8721004397667,298.8721004397667,998.2422211476946,0.8027522935779817,1.0617158460207552
s2,0.55,0.82,0.8061926605504587,304.4863101243487,298.8721004397667,298.8721004397667,998.2422211476946,0.8027522935779817,1.0617158460207552
s2,0.56,0.82,0.805045871559633,307.6944299441098,298.8721004397667,298.8721004397667,998.2422211476946,1.261467889908257,1.0613652865224503
s2,0.57,0.82,0.8038990825688074,309.2984898539903,298.8721004397667,298.8721004397667,998.2422211476946,1.4908256880733946,1.0611900067732978
s2,0.58,0.82,0.805045871559633,310.902549763871,298.8721004397667,298.8721004397667,998.2422211476946,1.7201834862385321,1.0610147270241452
s2,0.59,0.82125,0.8061926605504587,311.7045797188112,298.8721004397667,298.8721004397667,998.2422211476946,1.834862385321101,1.060927087149569
s2,0.6,0.82125,0.8061926605504587,313.30863962869176,298.8721004397667,298.8721004397667,998.2422211476946,2.064220183486239,1.0607518074004167
s2,0.61,0.82125,0.8061926605504587,316.51675944845294,298.8721004397667,298.8721004397667,998.2422211476946,2.522935779816514,1.0604012479021117
s2,0.62,0.825,0.8073394495412844,317.3187894033932,298.8721004397667,298.8721004397667,998.2422211476946,2.637614678899083,1.0603136080275355
s2,0.63,0.82625,0.8073394495412844,318.1208193583335,298.8721004397667,298.8721004397667,998.2422211476946,2.7522935779816518,1.0602259681529593
s2,0.64,0.82625,0.8084862385321101,318.92284931327373,298.8721004397667,298.8721004397667,998.2422211476946,2.86697247706422,1.0601383282783832
s2,0.65,0.82875,0.8084862385321101,319.72487926821407,298.8721004397667,298.8721004397667,998.2422211476946,2.981651376146789,1.0600506884038066
s2,0.66,0.83,0.8107798165137615,323.7350290429155,298.8721004397667,298.8721004397667,998.2422211476946,3.555045871559633,1.0596124890309255
s2,0.67,0.83,0.8107798165137615,326.1411189077363,298.8721004397667,298.8721004397667,998.2422211476946,3.89908256880734,1.0593495694071968
s2,0.68,0.83,0.8130733944954128,328.54720877255716,298.8721004397667,298.8721004397667,998.2422211476946,4.2431192660550465,1.0590866497834681
s2,0.69,0.83125,0.8130733944954128,330.1512686824378,298.8721004397667,298.8721004397667,998.2422211476946,4.472477064220183,1.0589113700343158
s2,0.7,0.8325,0.8119266055045872,331.7553285923183,298.8721004397667,298.8721004397667,998.2422211476946,4.701834862385321,1.0587360902851632
s2,0.71,0.83375,0.8107798165137615,332.5573585472586,298.8721004397667,298.8721004397667,998.2422211476946,4.81651376146789,1.058648450410587
s2,0.72,0.83375,0.8119266055045872,334.1614184571392,298.8721004397667,613.5886547582866,998.2422211476946,5.045871559633028,1.0584731706614345
s2,0.73,0.83125,0.8119266055045872,334.1614184571392,298.8721004397667,613.5886547582866,998.2422211476946,5.045871559633028,1.0584731706614345
s2,0.74,0.83,0.8130733944954128,334.96344841207946,298.8721004397667,998.2422211476946,998.2422211476946,5.160550458715597,1.0583855307868584
s2,0.75,0.83,0.8119266055045872,335.76547836701974,298.8721004397667,998.2422211476946,998.2422211476946,5.275229357798166,1.0582978909122822
s2,0.76,0.83125,0.8119266055045872,337.36953827690036,298.8721004397667,998.2422211476946,998.2422211476946,5.5045871559633035,1.0581226111631297
s2,0.77,0.83125,0.8119266055045872,338.9735981867809,298.8721004397667,998.2422211476946,998.2422211476946,5.73394495412844,1.0579473314139771
s2,0.78,0.8325,0.8119266055045872,341.3796880516017,298.8721004397667,998.2422211476946,998.2422211476946,6.077981651376147,1.0576844117902486
s2,0.79,0.8325,0.8119266055045872,342.9837479614824,298.8721004397667,998.2422211476946,998.2422211476946,6.307339449541284,1.057509132041096
s2,0.8,0.8325,0.8119266055045872,346.9938977361837,298.8721004397667,998.2422211476946,998.2422211476946,6.8807339449541285,1.0570709326682148
s2,0.81,0.83375,0.8130733944954128,350.2020175559449,298.8721004397667,998.2422211476946,998.2422211476946,7.339449541284404,1.05672037316991
s2,0.82,0.83375,0.8130733944954128,351.00404751088513,298.8721004397667,998.2422211476946,998.2422211476946,7.454128440366972,1.0566327332953338
s2,0.83,0.83125,0.8130733944954128,353.41013737570603,298.8721004397667,998.2422211476946,998.2422211476946,7.79816513761468,1.056369813671605
s2,0.84,0.83375,0.8165137614678899,358.2223171053477,298.8721004397667,998.2422211476946,998.2422211476946,8.486238532110093,1.0558439744241477
s2,0.85,0.8325,0.8153669724770642,361.4304369251089,298.8721004397667,998.2422211476946,998.2422211476946,8.944954128440367,1.0554934149258428
s2,0.86,0.83125,0.8142201834862385,365.44058669981035,298.8721004397667,998.2422211476946,998.2422211476946,9.51834862385321,1.0550552155529618
s2,0.87,0.83125,0.8165137614678899,370.252766429452,298.8721004397667,998.2422211476946,998.2422211476946,10.206422018348624,1.0545293763055041
s2,0.88,0.83125,0.8176605504587156,375.0649461590938,298.8721004397667,998.2422211476946,998.2422211476946,10.894495412844037,1.0540035370580467
s2,0.89,0.8325,0.8165137614678899,379.0750959337951,298.8721004397667,998.2422211476946,998.2422211476946,11.46788990825688,1.0535653376851657
s2,0.9,0.83375,0.8176605504587156,382.2832157535563,298.8721004397667,998.2422211476946,998.2422211476946,11.926605504587156,1.0532147781868608
s2,0.91,0.83625,0.8176605504587156,392.70960516777996,298.8721004397667,998.2422211476946,998.2422211476946,13.417431192660551,1.0520754598173698
s2,0.92,0.84,0.8176605504587156,403.938024536944,298.8721004397667,998.2422211476946,998.2422211476946,15.022935779816512,1.0508485015733027
s2,0.93,0.84375,0.8188073394495413,414.3644139511677,298.8721004397667,998.2422211476946,998.2422211476946,16.51376146788991,1.0497091832038117
s2,0.94,0.84375,0.8222477064220184,419.17659368080933,298.8721004397667,998.2422211476946,998.2422211476946,17.201834862385322,1.0491833439563543
s2,0.95,0.84375,0.8337155963302753,439.22734255431646,298.8721004397667,998.2422211476946,998.2422211476946,20.068807339449542,1.0469923470919484
s2,0.96,0.845,0.8348623853211009,462.4862112475847,298.8721004397667,998.2422211476946,998.2422211476946,23.394495412844037,1.044450790729238
s2,0.97,0.8475,0.8371559633027523,488.9531997606141,298.8721004397667,998.2422211476946,998.2422211476946,27.178899082568808,1.0415586748682224
s2,0.98,0.8475,0.841743119266055,533.0648472823298,298.8721004397667,998.2422211476946,998.2422211476946,33.48623853211009,1.0367384817665297
s2,0.99,0.84875,0.8405963302752294,658.1815202530141,998.2422211476946,998.2422211476946,998.2422211476946,51.37614678899083,1.023066661332638
s2,1.0,0.85,0.8405963302752294,998.242221147695,998.2422211476946,998.2422211476946,998.2422211476946,100.0,0.9859073545123168
s3,0.5,0.8175,0.8084862385321101,298.8721004397667,298.8721004397667,298.8721004397667,298.8721004397667,0.0,1.0623293251427888
s3,0.51,0.82,0.8084862385321101,298.8721004397667,298.8721004397667,298.8721004397667,298.8721004397667,0.0,1.0623293251427888
s3,0.52,0.82,0.8084862385321101,304.03502956674333,298.8721004397667,298.8721004397667,1799.5635000143154,0.34403669724770647,1.0617651586071786
s3,0.53,0.82125,0.8084862385321101,307.4769823180611,298.8721004397667,298.8721004397667,1799.5635000143154,0.573394495412844,1.0613890475834384
s3,0.54,0.8225,0.8084862385321101,310.9189350693789,298.8721004397667,298.8721004397667,1799.5635000143154,0.8027522935779817,1.0610129365596985
s3,0.55,0.8225,0.8084862385321101,310.9189350693789,298.8721004397667,298.8721004397667,1799.5635000143154,0.8027522935779817,1.0610129365596985
s3,0.56,0.8225,0.8073394495412844,317.8028405720144,298.8721004397667,298.8721004397667,1799.5635000143154,1.261467889908257,1.0602607145122183
s3,0.57,0.8225,0.8073394495412844,321.24479332333226,298.8721004397667,298.8721004397667,1799.5635000143154,1.4908256880733946,1.0598846034884781
s3,0.58,0.8225,0.8084862385321101,324.68674607465,298.8721004397667,298.8721004397667,1799.5635000143154,1.7201834862385321,1.0595084924647382
