router,gamma,system,mJ_per_query,acc,RR,router_mJ,routing_acc,dist
heuristic,0.8,AMSD-C (heuristic),579.593129102491,0.8107798165137615,1.0316542168237446,0.34910608106777036,0.7729357798165137,"{""s1"": 833, ""s2"": 5, ""s3"": 7, ""s4"": 4, ""teacher"": 23}"
heuristic,0.81,AMSD-C (heuristic),579.593129102491,0.8107798165137615,1.0316542168237446,0.34910608106777036,0.7729357798165137,"{""s1"": 833, ""s2"": 5, ""s3"": 7, ""s4"": 4, ""teacher"": 23}"
heuristic,0.82,AMSD-C (heuristic),579.593129102491,0.8107798165137615,1.0316542168237446,0.34910608106777036,0.7729357798165137,"{""s1"": 833, ""s2"": 5, ""s3"": 7, ""s4"": 4, ""teacher"": 23}"
heuristic,0.83,AMSD-C (heuristic),652.329901293965,0.8096330275229358,1.0237060827762887,0.34910608106777036,0.7557339449541285,"{""s1"": 816, ""s2"": 8, ""s3"": 9, ""s4"": 12, ""teacher"": 27}"
heuristic,0.84,AMSD-C (heuristic),811.6866920554859,0.8119266055045872,1.0062927566664803,0.34910608106777036,0.7282110091743119,"{""s1"": 788, ""s2"": 13, ""s3"": 15, ""s4"": 17, ""teacher"": 39}"
heuristic,0.85,AMSD-C (heuristic),1106.6370269936585,0.8165137614678899,0.9740627754781556,0.34910608106777036,0.6880733944954128,"{""s1"": 737, ""s2"": 29, ""s3"": 23, ""s4"": 20, ""teacher"": 63}"
heuristic,0.86,AMSD-C (heuristic),1484.9778633204155,0.8360091743119266,0.9327204998704927,0.34910608106777036,0.5561926605504587,"{""s1"": 579, ""s2"": 79, ""s3"": 69, ""s4"": 69, ""teacher"": 76}"
heuristic,0.87,AMSD-C (heuristic),1544.3596913962747,0.8360091743119266,0.9262316948918021,0.34910608106777036,0.5263761467889908,"{""s1"": 551, ""s2"": 90, ""s3"": 77, ""s4"": 76, ""teacher"": 78}"
heuristic,0.88,AMSD-C (heuristic),1758.8101810957367,0.8451834862385321,0.9027981386956733,0.34910608106777036,0.463302752293578,"{""s1"": 479, ""s2"": 101, ""s3"": 116, ""s4"": 87, ""teacher"": 89}"
heuristic,0.89,AMSD-C (heuristic),1841.9231400856445,0.8474770642201835,0.8937161720475858,0.34910608106777036,0.4208715596330275,"{""s1"": 429, ""s2"": 128, ""s3"": 125, ""s4"": 99, ""teacher"": 91}"
heuristic,0.9,AMSD-C (heuristic),1940.568495336684,0.8474770642201835,0.8829369405382435,0.34910608106777036,0.3704128440366973,"{""s1"": 372, ""s2"": 177, ""s3"": 123, ""s4"": 103, ""teacher"": 97}"
heuristic,0.91,AMSD-C (heuristic),2323.2019625113126,0.8555045871559633,0.8411255981247934,0.34910608106777036,0.3130733944954128,"{""s1"": 307, ""s2"": 216, ""s3"": 107, ""s4"": 113, ""teacher"": 129}"
heuristic,0.92,AMSD-C (heuristic),2749.588664490956,0.856651376146789,0.7945332272884069,0.34910608106777036,0.2889908256880734,"{""s1"": 279, ""s2"": 214, ""s3"": 100, ""s4"": 110, ""teacher"": 169}"
heuristic,0.93,AMSD-C (heuristic),3247.7430721048886,0.8623853211009175,0.7400986147979902,0.34910608106777036,0.26490825688073394,"{""s1"": 248, ""s2"": 204, ""s3"": 102, ""s4"": 102, ""teacher"": 216}"
heuristic,0.94,AMSD-C (heuristic),3528.9912185407134,0.8623853211009175,0.7093659069650666,0.34910608106777036,0.2545871559633027,"{""s1"": 235, ""s2"": 194, ""s3"": 114, ""s4"": 84, ""teacher"": 245}"
heuristic,0.95,AMSD-C (heuristic),4225.49144755538,0.8658256880733946,0.6332575367761936,0.34910608106777036,0.26376146788990823,"{""s1"": 248, ""s2"": 138, ""s3"": 115, ""s4"": 53, ""teacher"": 318}"
heuristic,0.96,AMSD-C (heuristic),4567.1920640831995,0.8692660550458715,0.595919032159682,0.34910608106777036,0.18692660550458715,"{""s1"": 168, ""s2"": 150, ""s3"": 134, ""s4"": 82, ""teacher"": 338}"
heuristic,0.97,AMSD-C (heuristic),6833.685298079377,0.9013761467889908,0.34825349107638576,0.34910608106777036,0.11926605504587157,"{""s1"": 86, ""s2"": 82, ""s3"": 80, ""s4"": 70, ""teacher"": 554}"
linear,0.8,AMSD-C (linear),733.441614355854,0.8107798165137615,1.014842797414414,5.802280138952921,0.7568807339449541,"{""s1"": 816, ""s2"": 9, ""s3"": 6, ""s4"": 5, ""teacher"": 36}"
linear,0.81,AMSD-C (linear),733.441614355854,0.8107798165137615,1.014842797414414,5.802280138952921,0.7568807339449541,"{""s1"": 816, ""s2"": 9, ""s3"": 6, ""s4"": 5, ""teacher"": 36}"
linear,0.82,AMSD-C (linear),733.441614355854,0.8107798165137615,1.014842797414414,5.802280138952921,0.7568807339449541,"{""s1"": 816, ""s2"": 9, ""s3"": 6, ""s4"": 5, ""teacher"": 36}"
linear,0.83,AMSD-C (linear),842.1616184230378,0.8142201834862385,1.0029626831347866,5.802280138952921,0.7110091743119266,"{""s1"": 765, ""s2"": 38, ""s3"": 13, ""s4"": 15, ""teacher"": 41}"
linear,0.84,AMSD-C (linear),984.2743398649856,0.8222477064220184,0.987433660800719,5.802280138952921,0.6834862385321101,"{""s1"": 728, ""s2"": 15, ""s3"": 60, ""s4"": 22, ""teacher"": 47}"
linear,0.85,AMSD-C (linear),1620.7666733862893,0.8291284403669725,0.9178825075863832,5.802280138952921,0.6628440366972477,"{""s1"": 711, ""s2"": 7, ""s3"": 13, ""s4"": 34, ""teacher"": 107}"
linear,0.86,AMSD-C (linear),2088.3516670858075,0.8291284403669725,0.8667882935247602,5.802280138952921,0.6055045871559633,"{""s1"": 640, ""s2"": 46, ""s3"": 16, ""s4"": 19, ""teacher"": 151}"
linear,0.87,AMSD-C (linear),2262.3040289800424,0.8405963302752294,0.8477800718433336,5.802280138952921,0.5022935779816514,"{""s1"": 516, ""s2"": 94, ""s3"": 78, ""s4"": 30, ""teacher"": 154}"
